campana,zona,regional,localidad,clase_de_suelo,cultivo,rinde,antecesor_invernal_18_1,antecesor_estival_17_18,fecha_siembra,variedad,GM,espaciamiento_cm,densidad,riego,napa,adversidad_1,dano_1,adversidad_2,dano_2,dano_tot
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,36,Barbecho,Soja,2018-11-09,SRM3988,III,35,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,27,Barbecho,Maíz,2018-11-03,SRM3988,III,35,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,34,Barbecho,Soja,2018-11-29,SRM3988,III,38,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,20,Barbecho,Maíz,2018-11-24,SRM3988,III,40,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,34,Barbecho,Maíz,2018-11-21,SRM3988,III,38,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,17,Barbecho,Maíz,2018-11-08,SRM3988,III,40,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,21,Barbecho,Maíz,2018-12-02,SRM3988,III,40,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,31,Barbecho,Soja,2018-11-24,SRM3988,III,38,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,23,Barbecho,Maíz,2018-11-25,SRM3988,III,38,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
2018/19,5,San Luis,SER BEEF SA,Sin dato,soja_1,24,Barbecho,Maíz,2018-12-05,SRM3988,III,38,NA,NO,Sin influencia,Sin adversidad,0,Sin adversidad,0,0
